id_pagamento,id_fatura,id_cliente,dt_pagamento,valor_pagamento
256,582,38,2023-08-11,2194.88
257,583,38,2023-09-20,2780.93
258,584,38,2023-10-11,330.61
259,591,39,2023-01-18,3975.55
260,593,39,2023-03-15,1850.81
261,601,39,2023-11-13,231.95
262,604,39,2024-03-10,2596.44
263,605,39,2024-04-10,2274.35
264,607,39,2024-06-14,3265.82
265,608,39,2024-07-08,4543.26
266,611,40,2023-01-05,491.18
267,612,40,2023-02-18,2677.79
268,614,40,2023-04-12,3374.46
269,615,40,2023-05-20,3050.77
270,616,40,2023-06-11,444.43
271,617,40,2023-07-20,254.18
272,619,40,2023-09-17,423.09
273,622,40,2024-04-17,2082.14
274,626,41,2023-02-03,3589.25
275,633,41,2023-09-05,3349.41
276,634,41,2023-10-07,789.67
277,636,41,2024-02-14,1538.8
278,638,41,2024-09-15,426.0
279,642,42,2023-04-07,4459.67
280,644,42,2023-06-17,4486.22
281,646,42,2023-08-10,4739.42
282,651,42,2024-04-04,2622.53
283,657,43,2023-04-12,4922.78
284,660,43,2023-07-19,357.71
285,661,43,2023-08-12,3744.76
286,665,43,2024-02-19,4661.84
287,667,43,2024-04-07,40.14
288,668,43,2024-08-08,1929.9
289,670,44,2023-01-04,4400.99
290,673,44,2023-04-16,4893.06
291,674,44,2023-05-07,2105.83
292,677,44,2023-08-20,4564.72
293,681,44,2024-06-08,2203.64
294,683,45,2023-02-20,2733.99
295,684,45,2023-03-11,2334.81
296,685,45,2023-04-17,1055.89
297,686,45,2023-05-13,1904.7
298,687,45,2023-06-13,4864.87
299,689,45,2023-08-08,2747.32
300,691,45,2023-10-03,903.3
301,693,45,2023-12-19,186.55
302,695,45,2024-05-16,1491.32
303,697,45,2024-08-11,903.17
304,698,45,2024-09-17,3140.64
305,700,46,2023-02-17,1580.55
306,701,46,2023-03-13,1322.93
307,704,46,2023-06-03,1341.74
308,705,46,2023-07-10,373.57
309,706,46,2023-08-02,1722.99
310,708,46,2023-10-11,1113.08
311,709,46,2023-11-19,1014.82
312,714,46,2024-09-15,1661.97
313,715,47,2023-01-16,2286.11
314,716,47,2023-02-06,158.5
315,719,47,2023-05-12,1903.59
316,720,47,2023-06-15,499.48
317,721,47,2023-07-06,488.34
318,723,47,2023-09-05,1191.97
319,724,47,2023-10-17,1130.63
320,727,47,2024-03-13,4401.2
321,729,47,2024-08-02,3114.06
322,731,48,2023-01-20,3019.68
323,732,48,2023-02-08,4749.99
324,734,48,2023-04-14,2204.09
325,735,48,2023-05-11,4277.77
326,740,48,2023-10-15,2369.73
327,741,48,2023-12-15,2399.62
328,743,48,2024-05-20,4486.79
329,745,48,2024-08-03,2858.18
330,746,48,2024-09-19,3620.26
331,747,49,2023-01-18,3920.66
332,748,49,2023-02-05,181.26
333,749,49,2023-03-07,936.53
334,753,49,2023-07-19,4635.8
335,754,49,2023-08-17,419.36
336,757,49,2023-12-17,3331.77
337,758,49,2024-01-15,2699.03
338,760,49,2024-04-06,1663.0
339,762,49,2024-09-10,1716.49
340,763,50,2023-01-19,266.24
341,765,50,2023-03-21,3649.8
342,772,50,2023-10-21,834.94
343,775,50,2024-05-09,2776.23
344,776,50,2024-06-12,1725.32
345,777,50,2024-08-04,437.4
346,780,51,2023-02-10,744.39
347,782,51,2023-04-15,2190.5
348,787,51,2023-09-19,2057.59
349,790,51,2024-04-18,3844.72
350,791,51,2024-07-21,1907.84
351,794,52,2023-03-09,2867.59
352,797,52,2023-06-04,489.13
353,798,52,2023-07-19,3088.46
354,800,52,2023-09-03,1998.79
355,801,52,2023-10-12,384.7
356,803,52,2024-01-20,2681.26
357,804,52,2024-02-20,4527.23
358,808,53,2023-01-07,3007.85
359,809,53,2023-02-19,3264.48
360,811,53,2023-04-13,4685.5
361,814,53,2023-07-03,2424.16
362,815,53,2023-08-10,3514.41
363,817,53,2023-10-10,744.6
364,818,53,2023-12-17,3533.72
365,819,53,2024-06-20,4830.32
366,821,54,2023-01-14,4446.16
367,822,54,2023-02-15,1012.48
368,823,54,2023-03-08,2986.93
369,824,54,2023-04-05,845.49
370,827,54,2023-07-13,3584.26
371,828,54,2023-08-18,2555.33
372,829,54,2023-09-04,1335.66
373,830,54,2023-10-03,4398.23
374,834,54,2024-07-07,4744.28
375,840,55,2023-05-15,3833.58
376,841,55,2023-06-15,1418.41
377,844,55,2023-09-15,4422.39
378,847,55,2024-01-17,430.52
379,849,55,2024-06-15,1368.99
380,851,55,2024-09-06,41.23
381,853,56,2023-02-14,3531.73
382,854,56,2023-03-05,3435.79
383,855,56,2023-04-10,498.32
384,863,56,2024-06-12,2007.87
385,867,57,2023-03-20,3517.99
386,868,57,2023-04-17,2801.35
387,875,57,2023-11-09,4722.62
388,876,57,2023-12-13,2912.16
389,879,58,2023-02-09,2142.22
390,880,58,2023-03-09,726.51
391,881,58,2023-04-15,3791.72
392,882,58,2023-05-21,3491.31
393,883,58,2023-06-05,4561.53
394,885,58,2023-08-12,1353.67
395,888,58,2023-11-04,1221.37
396,889,58,2023-12-05,514.07
397,890,58,2024-01-02,3616.68
398,891,58,2024-07-11,1706.44
399,896,59,2023-03-20,4836.98
400,897,59,2023-04-05,238.77
401,898,59,2023-05-12,2569.82
402,900,59,2023-07-04,459.31
403,903,59,2023-10-17,2972.91
404,906,59,2024-04-02,2839.9
405,908,59,2024-07-03,4318.85
406,911,60,2023-02-14,2127.95
407,912,60,2023-03-14,385.58
408,914,60,2023-05-18,3501.91
409,915,60,2023-06-12,3789.32
410,917,60,2023-08-19,2273.81
411,919,60,2023-10-04,238.67
412,921,60,2024-01-21,2465.84
413,922,60,2024-02-21,4867.53
414,923,60,2024-03-10,640.4
415,924,60,2024-04-05,770.54
416,925,60,2024-07-17,3773.79
417,927,61,2023-01-20,171.04
418,928,61,2023-02-04,1627.07
419,930,61,2023-04-16,4955.4
420,931,61,2023-05-20,4655.93
421,932,61,2023-06-20,3918.18
422,933,61,2023-07-03,1724.72
423,934,61,2023-08-02,3001.97
424,935,61,2023-09-17,3941.01
425,938,61,2024-03-03,2140.02
426,940,61,2024-07-13,3250.72
427,941,62,2023-01-19,4442.99
428,942,62,2023-02-18,3801.22
429,944,62,2023-04-15,2737.88
430,946,62,2023-06-13,732.63
431,947,62,2023-07-14,155.66
432,949,62,2023-09-13,185.65
433,950,62,2023-10-19,2998.96
434,952,62,2023-12-06,760.41
435,953,62,2024-01-06,4228.3
436,954,62,2024-02-10,3200.61
437,956,62,2024-05-16,2390.54
438,957,62,2024-06-18,948.14
439,958,62,2024-08-14,2178.59
440,960,63,2023-01-02,1731.45
441,961,63,2023-02-21,702.37
442,962,63,2023-03-09,2149.63
443,965,63,2023-06-07,770.36
444,966,63,2023-07-14,373.49
445,968,63,2023-09-08,3490.75
446,969,63,2023-10-09,1977.38
447,973,63,2024-06-08,2172.69
448,974,63,2024-08-19,3829.76
449,978,64,2023-03-04,2281.32
450,979,64,2023-04-06,2335.86
451,980,64,2023-05-04,2079.83
452,981,64,2023-06-08,492.77
453,982,64,2023-07-13,1430.28
454,984,64,2023-09-17,3823.9
455,985,64,2023-10-14,4988.87
456,986,64,2023-11-12,267.25
457,987,64,2024-06-16,4032.73
458,988,64,2024-07-06,3911.65
459,989,64,2024-08-16,63.22
460,994,65,2023-04-08,3917.39
461,996,65,2023-06-07,4617.77
462,997,65,2023-07-06,4620.56
463,998,65,2023-08-09,2462.36
464,999,65,2023-09-18,4734.23
465,1003,65,2024-07-05,4334.72
466,1005,66,2023-01-06,3424.74
467,1006,66,2023-02-06,857.16
468,1007,66,2023-03-18,4289.29
469,1012,66,2023-08-18,664.04
470,1013,66,2023-09-12,2673.02
471,1015,66,2023-11-09,384.03
472,1016,66,2024-01-04,3266.41
473,1017,66,2024-03-08,900.12
474,1018,66,2024-04-19,993.18
475,1020,66,2024-08-11,4058.74
476,1021,66,2024-09-05,4935.49
477,1023,67,2023-02-19,483.43
478,1025,67,2023-04-09,2241.16
479,1028,67,2023-07-15,1401.86
480,1029,67,2023-08-15,4271.26
481,1031,67,2023-10-09,900.09
482,1033,67,2024-03-10,4340.97
483,1034,67,2024-04-13,1385.48
484,1035,67,2024-06-15,2995.81
485,1036,67,2024-08-04,1786.44
486,1037,67,2024-09-07,1460.03
487,1039,68,2023-02-17,2259.85
488,1040,68,2023-03-09,3158.77
489,1041,68,2023-04-12,2578.24
490,1042,68,2023-05-06,1416.45
491,1048,68,2023-11-13,3737.81
492,1049,68,2023-12-15,3118.18
493,1052,68,2024-05-14,4535.12
494,1053,68,2024-07-02,1792.23
495,1054,68,2024-08-19,1746.14
496,1055,69,2023-01-11,1370.64
497,1059,69,2023-05-09,426.41
498,1060,69,2023-06-21,3276.64
499,1062,69,2023-08-14,1393.81
500,1065,69,2023-12-19,1542.93
501,1066,69,2024-02-09,2284.96
502,1067,69,2024-03-14,2150.12
503,1068,69,2024-05-05,3872.49
504,1070,69,2024-07-20,1418.1
505,1073,70,2023-01-09,4602.89
506,1075,70,2023-03-13,4047.84
507,1076,70,2023-04-02,2206.85
508,1077,70,2023-05-13,4240.65
509,1078,70,2023-06-12,3244.2
510,1081,70,2023-09-07,4698.22
511,1084,70,2024-02-07,507.43
512,1086,70,2024-05-11,878.37
513,1087,70,2024-06-16,3877.42
514,1088,70,2024-08-12,1635.67
515,1089,70,2024-09-13,4775.73
516,1094,71,2023-05-03,1115.93
517,1098,71,2023-09-11,4662.73
518,1099,71,2023-10-18,3670.34
519,1100,71,2023-12-02,846.66
520,1101,71,2024-01-09,2124.11
521,1102,71,2024-03-04,98.54
522,1103,71,2024-04-07,246.85
523,1105,71,2024-07-16,485.98
524,1108,72,2023-01-02,2982.34
525,1109,72,2023-02-02,4421.65
526,1110,72,2023-03-12,4030.41
527,1116,72,2023-09-06,4643.1
528,1117,72,2023-10-14,1097.01
529,1118,72,2023-11-06,4085.29
530,1119,72,2024-01-05,728.7
531,1121,72,2024-03-20,3835.73
532,1122,72,2024-05-04,2596.4
533,1130,73,2023-06-14,1295.78
534,1131,73,2023-07-03,1787.56
535,1133,73,2023-09-06,2154.94
536,1137,73,2024-04-18,4486.51
537,1138,73,2024-09-16,2936.7
538,1144,74,2023-06-19,1751.71
539,1148,74,2023-10-10,359.58
540,1151,74,2024-02-21,753.39
541,1153,74,2024-05-09,2441.88
542,1154,74,2024-06-02,2198.08
543,1158,75,2023-03-03,874.56
544,1161,75,2023-06-12,2754.06
545,1162,75,2023-07-09,2802.0
546,1163,75,2023-08-04,4240.12
547,1164,75,2023-09-18,1527.73
548,1166,75,2024-01-07,3770.67
549,1167,75,2024-02-10,4869.27
550,1169,75,2024-07-07,2629.21
551,1172,76,2023-03-19,1883.19
552,1173,76,2023-04-08,4854.57
553,1176,76,2023-07-04,2218.34
554,1177,76,2023-08-03,3957.03
555,1180,76,2023-12-18,2067.62
556,1183,76,2024-04-02,331.48
557,1185,76,2024-08-06,2636.09
558,1188,77,2023-03-14,370.16
559,1191,77,2023-06-07,1748.64
560,1193,77,2023-08-16,694.09
561,1195,77,2023-10-11,1293.42
562,1196,77,2024-04-20,953.57
563,1198,77,2024-07-20,3696.36
564,1199,78,2023-01-12,4389.37
565,1200,78,2023-02-12,507.41
566,1202,78,2023-04-19,3021.11
567,1206,78,2023-08-18,750.42
568,1207,78,2023-09-16,3876.4
569,1209,78,2024-02-10,2303.33
570,1210,78,2024-03-19,4384.99
571,1211,78,2024-04-03,2633.47
572,1212,78,2024-06-13,3281.19
573,1215,79,2023-01-05,4953.16
574,1216,79,2023-02-11,3921.86
575,1218,79,2023-04-08,1056.99
576,1219,79,2023-05-06,4347.3
577,1223,79,2023-09-20,377.54
578,1226,79,2024-03-20,1093.57
579,1227,79,2024-04-11,3885.86
580,1228,79,2024-05-11,4323.64
581,1231,80,2023-01-13,4537.79
582,1233,80,2023-03-08,4764.69
583,1234,80,2023-04-08,399.97
584,1235,80,2023-05-05,4571.15
585,1239,80,2023-09-06,1072.26
586,1240,80,2023-10-21,1769.57
587,1244,80,2024-05-12,2548.56
588,1248,81,2023-01-08,4032.24
589,1249,81,2023-02-13,258.45
590,1250,81,2023-03-15,1623.02
591,1251,81,2023-04-04,3568.48
592,1253,81,2023-06-13,1298.37
593,1254,81,2023-07-16,4893.36
594,1256,81,2023-09-04,4180.42
595,1258,81,2024-01-06,2712.24
596,1259,81,2024-02-09,2740.22
597,1261,82,2023-01-03,4853.7
598,1262,82,2023-02-11,2652.43
599,1263,82,2023-03-15,3214.12
600,1264,82,2023-04-20,650.18
601,1265,82,2023-05-10,3543.37
602,1266,82,2023-06-02,4486.43
603,1271,82,2023-11-15,2269.37
604,1272,82,2024-03-02,4669.56
605,1273,82,2024-06-18,3433.11
606,1274,82,2024-07-12,1702.39
607,1276,82,2024-09-19,3947.58
608,1280,83,2023-04-03,1169.58
609,1281,83,2023-05-05,1748.15
610,1283,83,2023-07-03,1961.93
611,1288,83,2023-12-17,556.66
612,1290,83,2024-02-05,2250.34
613,1295,83,2024-08-20,2768.24
614,1298,84,2023-02-11,1241.73
615,1299,84,2023-03-18,2862.93
616,1301,84,2023-05-17,1200.11
617,1302,84,2023-06-02,3429.57
618,1303,84,2023-07-20,3226.97
619,1304,84,2023-08-16,4890.25
620,1305,84,2023-09-04,2980.7
621,1306,84,2023-10-03,3843.61
622,1307,84,2023-11-09,2829.98
623,1308,84,2023-12-09,3222.07
624,1310,84,2024-02-15,1301.35
625,1313,84,2024-06-02,2302.82
626,1314,84,2024-07-07,3548.57
627,1315,85,2023-01-15,999.49
628,1316,85,2023-02-17,1510.64
629,1318,85,2023-04-10,2192.89
630,1319,85,2023-05-13,2305.82
631,1324,85,2023-10-17,4469.24
632,1327,85,2024-03-08,4525.46
633,1329,85,2024-08-20,3172.15
634,1330,86,2023-01-03,3564.44
635,1333,86,2023-04-18,4575.31
636,1334,86,2023-05-18,791.84
637,1335,86,2023-06-06,4047.47
638,1336,86,2023-07-20,869.3
639,1338,86,2023-09-16,4225.95
640,1340,86,2023-11-17,2118.73
641,1341,86,2023-12-16,4295.07
642,1343,86,2024-08-03,4088.32
643,1344,86,2024-09-06,4768.96
644,1346,87,2023-02-04,3923.14
645,1348,87,2023-04-05,1657.87
646,1351,87,2023-07-05,4069.37
647,1353,87,2023-09-13,2455.27
648,1354,87,2023-10-03,205.7
649,1355,87,2023-12-06,3115.89
650,1356,87,2024-02-11,4123.31
651,1358,87,2024-05-10,259.73
652,1360,88,2023-01-09,3991.87
653,1361,88,2023-02-04,2308.73
654,1362,88,2023-03-09,1650.81
655,1364,88,2023-05-09,3537.11
656,1370,88,2023-12-08,2719.07
657,1371,88,2024-01-16,3535.03
658,1373,88,2024-04-03,4371.87
659,1376,88,2024-08-03,4657.03
660,1377,89,2023-01-18,235.88
661,1378,89,2023-02-09,1330.72
662,1379,89,2023-03-16,4929.47
663,1380,89,2023-04-07,964.33
664,1384,89,2023-08-18,671.53
665,1390,89,2024-04-05,3315.56
666,1395,89,2024-09-21,4456.25
667,1397,90,2023-02-16,1189.54
668,1398,90,2023-03-17,3126.67
669,1402,90,2023-07-08,4606.22
670,1403,90,2023-08-20,4052.65
671,1405,90,2023-10-07,4994.79
672,1406,90,2024-01-20,2352.46
673,1407,90,2024-02-12,3531.59
674,1408,90,2024-03-18,4218.69
675,1409,90,2024-05-07,4440.88
676,1413,91,2023-03-10,1518.86
677,1416,91,2023-06-03,2957.54
678,1427,92,2023-01-17,4996.33
679,1428,92,2023-02-04,755.6
680,1429,92,2023-03-11,2034.12
681,1431,92,2023-05-08,3225.58
682,1432,92,2023-06-04,557.83
683,1435,92,2023-09-03,4242.6
684,1445,93,2023-03-13,1949.82
685,1446,93,2023-04-03,4038.41
686,1447,93,2023-05-12,3466.79
687,1448,93,2023-06-05,2169.48
688,1451,93,2023-09-18,2278.15
689,1454,93,2024-01-06,3307.11
690,1455,93,2024-05-09,3668.0
691,1458,93,2024-09-18,1942.9
692,1459,94,2023-01-07,4152.12
693,1460,94,2023-02-07,3677.75
694,1463,94,2023-05-06,1641.99
695,1464,94,2023-06-05,697.81
696,1466,94,2023-08-07,4003.92
697,1467,94,2023-09-18,1850.54
698,1468,94,2023-10-07,1974.42
699,1476,94,2024-07-15,2382.35
700,1477,94,2024-08-02,807.51
701,1478,94,2024-09-05,387.3
702,1481,95,2023-03-08,700.29
703,1484,95,2023-06-13,4161.25
704,1486,95,2023-08-11,3473.03
705,1487,95,2023-09-11,3470.1
706,1489,95,2024-01-06,799.47
707,1491,95,2024-04-07,2915.45
708,1492,95,2024-05-18,4476.97
709,1494,95,2024-07-21,2804.28
710,1495,95,2024-08-15,3053.38
711,1496,96,2023-01-11,1661.3
712,1497,96,2023-02-10,1144.25
713,1499,96,2023-04-10,4048.23
714,1501,96,2023-06-11,1574.42
715,1502,96,2023-07-05,3472.93
716,1503,96,2023-08-09,3413.21
717,1504,96,2023-09-03,44.67
718,1505,96,2023-10-20,4035.75
719,1508,96,2024-07-20,1872.45
720,1509,96,2024-08-06,4099.83
721,1517,97,2023-07-06,1948.41
722,1518,97,2023-08-17,4210.5
723,1519,97,2023-09-14,1473.32
724,1520,97,2023-10-06,1897.38
725,1529,98,2023-01-08,300.97
726,1530,98,2023-02-20,1467.16
727,1531,98,2023-03-20,624.31
728,1532,98,2023-04-19,2777.97
729,1534,98,2023-06-19,1987.21
730,1539,98,2024-02-07,1255.83
731,1543,98,2024-09-09,3929.18
732,1544,99,2023-01-19,4179.62
733,1547,99,2023-04-16,3407.76
734,1549,99,2023-06-09,724.23
735,1550,99,2023-07-08,2598.71
736,1551,99,2023-08-21,2249.08
737,1553,99,2023-10-17,275.09
738,1555,99,2024-01-15,3975.31
739,1556,99,2024-02-11,3021.13
740,1557,99,2024-08-10,799.01
741,1559,100,2023-01-08,4814.26
742,1562,100,2023-04-17,1191.02
743,1563,100,2023-05-16,3634.13
744,1569,100,2023-11-19,3434.75
745,1572,100,2024-07-03,3947.77
746,1574,101,2023-01-21,2565.46
747,1576,101,2023-03-07,3369.01
748,1578,101,2023-05-02,2870.07
749,1579,101,2023-06-12,1781.48
750,1580,101,2023-07-16,4010.76
751,1581,101,2023-08-15,920.3
752,1582,101,2023-09-03,4341.08
753,1583,101,2023-10-16,1088.7
754,1584,101,2024-02-12,3341.68
755,1585,101,2024-03-20,4095.09
756,1586,101,2024-04-05,4697.46
757,1587,101,2024-07-21,2939.33
758,1588,101,2024-08-16,1776.08
759,1589,101,2024-09-03,1518.22
760,1590,102,2023-01-10,1849.19
761,1591,102,2023-02-16,3962.41
762,1592,102,2023-03-08,4792.14
763,1593,102,2023-04-08,913.68
764,1597,102,2023-08-17,882.83
765,1599,102,2023-10-08,2790.11
